11:00:01 PM  [main] 	Initializing Control Panel
11:00:01 PM  [main] 	Windows Version:  Home  64-bit
11:00:01 PM  [main] 	XAMPP Version: 7.4.3
11:00:01 PM  [main] 	Control Panel Version: 3.2.4  [ Compiled: Jun 5th 2019 ]
11:00:01 PM  [main] 	You are not running with administrator rights! This will work for
11:00:01 PM  [main] 	most application stuff but whenever you do something with services
11:00:01 PM  [main] 	there will be a security dialogue or things will break! So think 
11:00:01 PM  [main] 	about running this application with administrator rights!
11:00:01 PM  [main] 	XAMPP Installation Directory: "e:\web-development-learn\project\php\"
11:00:01 PM  [main] 	Checking for prerequisites
11:00:02 PM  [main] 	All prerequisites found
11:00:02 PM  [main] 	Initializing Modules
11:00:02 PM  [main] 	The MySQL module is disabled
11:00:02 PM  [main] 	The Tomcat module is disabled
11:00:02 PM  [main] 	Starting Check-Timer
11:00:02 PM  [main] 	Control Panel Ready
11:00:05 PM  [Apache] 	Attempting to start Apache app...
11:00:05 PM  [Apache] 	Status change detected: running
11:02:57 PM  [main] 	Executing "e:\web-development-learn\project\php\apache"
11:03:02 PM  [main] 	Executing "e:\web-development-learn\project\php\php"
12:05:26 AM  [main] 	Deinitializing Modules
12:05:26 AM  [main] 	Deinitializing Control Panel

